order_id,customer_id,order_date,total_amount,status,shipping_address,shipping_city,shipping_state,shipping_zip,shipping_country,payment_method,tax_amount,shipping_amount,discount_amount,grand_total
1,15,"2024-01-15 09:30:00",1148.00,"Delivered","486 Poplar Street, Charlotte, NC 28201","Charlotte","NC","28201","USA","Credit Card",68.88,0.00,20.00,1196.88
2,42,"2024-01-18 14:20:00",849.99,"Processing","693 Beech Drive, Virginia Beach, VA 23450","Virginia Beach","VA","23450","USA","PayPal",50.99,9.99,0.00,910.97
3,78,"2024-01-22 11:45:00",299.99,"Shipped","693 Oak Road, Reno, NV 89501","Reno","NV","89501","USA","Credit Card",18.00,5.99,15.00,308.98
4,3,"2024-01-25 16:10:00",180.00,"Delivered","789 Pine Street, Chicago, IL 60601","Chicago","IL","60601","USA","Apple Pay",10.80,0.00,0.00,190.80
5,91,"2024-01-28 13:35:00",599.00,"Processing","147 Maple Road, Spokane, WA 99201","Spokane","WA","99201","USA","Credit Card",35.94,8.99,25.00,618.93
6,56,"2024-02-01 10:00:00",3899.00,"Shipped","258 Oak Drive, Lexington, KY 40502","Lexington","KY","40502","USA","PayPal",233.94,0.00,100.00,4032.94
7,23,"2024-02-04 15:25:00",150.00,"Delivered","572 Oak Lane, Detroit, MI 48201","Detroit","MI","48201","USA","Credit Card",9.00,0.00,10.00,149.00
8,67,"2024-02-07 12:50:00",1099.00,"Processing","471 Oak Lane, Durham, NC 27701","Durham","NC","27701","USA","Apple Pay",65.94,0.00,50.00,1114.94
9,34,"2024-02-10 08:15:00",399.99,"Shipped","683 Spruce Drive, Sacramento, CA 95801","Sacramento","CA","95801","USA","Credit Card",24.00,4.99,0.00,428.98
10,89,"2024-02-13 17:40:00",229.00,"Delivered","825 Oak Avenue, Richmond, VA 23219","Richmond","VA","23219","USA","PayPal",13.74,0.00,15.00,227.74
11,12,"2024-02-16 14:05:00",749.99,"Processing","963 Magnolia Street, Jacksonville, FL 32099","Jacksonville","FL","32099","USA","Credit Card",45.00,9.99,30.00,774.98
12,45,"2024-02-19 11:30:00",499.99,"Shipped","936 Oak Avenue, Tulsa, OK 74101","Tulsa","OK","74101","USA","Apple Pay",30.00,0.00,25.00,504.99
13,78,"2024-02-22 16:55:00",89.50,"Delivered","693 Oak Road, Reno, NV 89501","Reno","NV","89501","USA","Credit Card",5.37,0.00,5.00,89.87
14,21,"2024-02-25 13:20:00",399.00,"Processing","356 Redwood Road, El Paso, TX 79901","El Paso","TX","79901","USA","PayPal",23.94,6.99,0.00,429.93
15,90,"2024-02-28 10:45:00",42.00,"Shipped","936 Pine Lane, Boise, ID 83701","Boise","ID","83701","USA","Credit Card",2.52,4.99,0.00,49.51
16,53,"2024-03-02 15:10:00",98.00,"Delivered","825 Beech Avenue, Santa Ana, CA 92701","Santa Ana","CA","92701","USA","Apple Pay",5.88,0.00,8.00,95.88
17,38,"2024-03-05 12:35:00",199.00,"Processing","258 Birch Road, Raleigh, NC 27601","Raleigh","NC","27601","USA","Credit Card",11.94,5.99,10.00,206.93
18,71,"2024-03-08 09:00:00",899.00,"Shipped","825 Birch Street, St. Petersburg, FL 33701","St. Petersburg","FL","33701","USA","PayPal",53.94,0.00,40.00,912.94
19,16,"2024-03-11 14:25:00",449.95,"Delivered","579 Sycamore Avenue, Indianapolis, IN 46201","Indianapolis","IN","46201","USA","Credit Card",27.00,0.00,20.00,456.95
20,84,"2024-03-14 11:50:00",153.00,"Processing","369 Hickory Street, Irving, TX 75014","Irving","TX","75014","USA","Apple Pay",9.18,4.99,0.00,167.17
21,29,"2024-03-17 16:15:00",699.00,"Shipped","248 Hickory Court, Milwaukee, WI 53201","Milwaukee","WI","53201","USA","Credit Card",41.94,0.00,30.00,710.94
22,62,"2024-03-20 13:40:00",125.00,"Delivered","825 Hickory Drive, Plano, TX 75023","Plano","TX","75023","USA","PayPal",7.50,0.00,5.00,127.50
23,95,"2024-03-23 10:05:00",199.99,"Processing","582 Hickory Drive, Modesto, CA 95350","Modesto","CA","95350","USA","Credit Card",12.00,5.99,15.00,202.98
24,8,"2024-03-26 15:30:00",1299.00,"Shipped","258 Walnut Street, San Diego, CA 92101","San Diego","CA","92101","USA","Apple Pay",77.94,0.00,60.00,1316.94
25,41,"2024-03-29 12:55:00",199.00,"Delivered","582 Aspen Avenue, Long Beach, CA 90801","Long Beach","CA","90801","USA","Credit Card",11.94,0.00,10.00,200.94
26,74,"2024-04-01 09:20:00",399.99,"Processing","258 Aspen Drive, Chandler, AZ 85224","Chandler","AZ","85224","USA","PayPal",24.00,6.99,0.00,430.98
27,17,"2024-04-04 14:45:00",159.95,"Shipped","684 Chestnut Drive, Seattle, WA 98101","Seattle","WA","98101","USA","Credit Card",9.60,4.99,8.00,166.54
28,50,"2024-04-07 12:10:00",162.00,"Delivered","582 Walnut Road, Aurora, CO 80010","Aurora","CO","80010","USA","Apple Pay",9.72,0.00,12.00,159.72
29,83,"2024-04-10 17:35:00",89.99,"Processing","258 Walnut Road, Norfolk, VA 23501","Norfolk","VA","23501","USA","Credit Card",5.40,4.99,5.00,94.38
30,26,"2024-04-13 14:00:00",349.99,"Shipped","815 Cedar Road, Memphis, TN 38101","Memphis","TN","38101","USA","PayPal",21.00,0.00,20.00,350.99
31,59,"2024-04-16 11:25:00",79.99,"Delivered","582 Cedar Lane, St. Louis, MO 63101","St. Louis","MO","63101","USA","Credit Card",4.80,0.00,7.00,77.79
32,92,"2024-04-19 16:50:00",149.99,"Processing","258 Cedar Street, Fremont, CA 94536","Fremont","CA","94536","USA","Apple Pay",9.00,5.99,0.00,164.98
33,5,"2024-04-22 13:15:00",499.99,"Shipped","654 Maple Drive, Phoenix, AZ 85001","Phoenix","AZ","85001","USA","Credit Card",30.00,0.00,25.00,504.99
34,48,"2024-04-25 10:40:00",229.95,"Delivered","369 Cedar Avenue, Cleveland, OH 44101","Cleveland","OH","44101","USA","PayPal",13.80,0.00,15.00,228.75
35,81,"2024-04-28 15:05:00",99.99,"Processing","936 Cedar Lane, North Las Vegas, NV 89030","North Las Vegas","NV","89030","USA","Credit Card",6.00,4.99,8.00,102.98
