product_id,product_name,description,category,price,cost,sku,created_at,updated_at,is_active,vendor
1,"iPhone 15 Pro","Latest Apple smartphone with advanced camera system","Electronics",999.00,650.00,"APP-IP15P-128","2023-09-15 08:00:00","2024-01-10 14:30:00","true","Apple Inc"
2,"Samsung Galaxy S24","Premium Android phone with AI features","Electronics",849.99,520.00,"SAM-GS24-256","2024-01-20 09:15:00","2024-03-05 11:20:00","true","Samsung Electronics"
3,"MacBook Air M3","Lightweight laptop with M3 chip","Electronics",1099.00,750.00,"APP-MBA-M3-13","2024-03-08 10:30:00","2024-05-12 16:45:00","true","Apple Inc"
4,"Nike Air Max 270","Comfortable running shoes with air cushioning","Footwear",150.00,75.00,"NIKE-AM270-BLK","2023-11-10 14:20:00","2024-02-18 09:10:00","true","Nike"
5,"Levi's 501 Jeans","Classic straight fit jeans","Clothing",89.50,45.00,"LEVI-501-32B","2023-08-22 11:45:00","2024-01-05 13:25:00","true","Levi Strauss"
6,"KitchenAid Mixer","Stand mixer for baking and cooking","Home & Kitchen",299.99,180.00,"KA-SM-5QT-RED","2023-10-05 16:30:00","2024-03-20 10:15:00","true","KitchenAid"
7,"Sony WH-1000XM5","Noise-canceling wireless headphones","Electronics",399.99,220.00,"SONY-WH-XM5-BLK","2023-12-15 13:10:00","2024-04-08 15:40:00","true","Sony"
8,"Adidas Ultraboost","Performance running shoes","Footwear",180.00,90.00,"ADID-UB22-WHT","2024-02-12 08:45:00","2024-06-25 12:30:00","true","Adidas"
9,"Instant Pot Duo","7-in-1 pressure cooker","Home & Kitchen",79.99,45.00,"IP-DUO-6QT","2023-09-30 15:20:00","2024-02-14 14:50:00","true","Instant Brands"
10,"iPad Air","Thin and powerful tablet","Electronics",599.00,380.00,"APP-IPAIR-64","2024-03-25 11:35:00","2024-07-10 09:25:00","true","Apple Inc"
11,"Canon EOS R5","Professional mirrorless camera","Electronics",3899.00,2500.00,"CAN-EOS-R5-BDY","2023-11-28 14:55:00","2024-05-15 17:20:00","true","Canon"
12,"North Face Jacket","Waterproof outdoor jacket","Clothing",229.00,120.00,"TNF-JKT-PRM-BLK","2023-10-18 10:40:00","2024-03-12 11:05:00","true","The North Face"
13,"Dyson V15 Vacuum","Cordless stick vacuum cleaner","Home & Kitchen",749.99,450.00,"DYS-V15-DTCT","2024-01-08 09:50:00","2024-06-18 13:15:00","true","Dyson"
14,"PlayStation 5","Gaming console with 4K support","Electronics",499.99,350.00,"SONY-PS5-STD","2023-12-05 16:25:00","2024-04-22 10:45:00","true","Sony"
