ad_id,ad_set_id,ad_name,ad_type,creative_primary_text,creative_headline,creative_description,display_url,destination_url,status,created_at,updated_at
1,1,"Summer Fashion Collection","IMAGE","Discover the latest summer styles at up to 50% off","Summer Sale Live Now","Shop our exclusive collection with limited time discounts","example.com/summer","https://www.example.com/summer-sale","ACTIVE","2024-05-20 10:00:00","2024-05-20 10:00:00"
2,1,"Luxury Summer Essentials","VIDEO","Elevate your summer wardrobe with premium pieces","Luxury Summer Collection","Premium quality for the discerning shopper","example.com/luxury","https://www.example.com/luxury-summer","ACTIVE","2024-05-20 10:15:00","2024-05-20 10:15:00"
3,2,"Family Summer Deals","CAROUSEL","Perfect summer outfits for the whole family","Family Summer Special","Matching sets and coordinated looks","example.com/family","https://www.example.com/family-summer","ACTIVE","2024-05-20 11:00:00","2024-05-20 11:00:00"
4,2,"Mom's Summer Guide","IMAGE","Summer essentials every mom needs","Mom's Summer Must-Haves","From beach days to backyard fun","example.com/moms","https://www.example.com/moms-summer","ACTIVE","2024-05-20 11:30:00","2024-05-20 11:30:00"
5,3,"Budget Summer Finds","VIDEO","Amazing summer deals under $50","Summer Steals Under $50","Quality fashion that won't break the bank","example.com/budget","https://www.example.com/budget-summer","ACTIVE","2024-05-21 09:00:00","2024-05-21 09:00:00"
6,4,"Urban Style Guide","CAROUSEL","Street style inspiration for summer","Urban Summer Looks","Trending styles for the city life","example.com/urban","https://www.example.com/urban-summer","ACTIVE","2024-06-05 14:00:00","2024-06-05 14:00:00"
7,5,"Family Vacation Shop","IMAGE","Get ready for your summer vacation","Vacation Ready Outfits","Comfortable and stylish travel wear","example.com/vacation","https://www.example.com/vacation-shop","ACTIVE","2024-06-05 14:30:00","2024-06-05 14:30:00"
8,6,"Professional Summer Wear","CAROUSEL","Stay cool and professional this summer","Office Summer Collection","Breathable fabrics for the workplace","example.com/professional","https://www.example.com/professional-summer","ACTIVE","2024-04-25 13:00:00","2024-04-25 13:00:00"
9,7,"Holiday Gift Ideas","VIDEO","Start your holiday shopping early","Early Holiday Shopping","Beat the rush with our gift guide","example.com/holiday","https://www.example.com/holiday-gifts","PAUSED","2024-10-05 10:00:00","2024-10-05 10:00:00"
10,8,"Mobile Game Launch","IMAGE","New mobile game - download now!","Exciting New Game Available","Challenge your friends today","example.com/game","https://www.example.com/game-download","ACTIVE","2024-06-10 16:00:00","2024-06-10 16:00:00"
11,9,"Come Back Special","CAROUSEL","We miss you! Special offer inside","Welcome Back Offer","Exclusive discount for returning visitors","example.com/welcomeback","https://www.example.com/return-offer","ACTIVE","2024-03-30 11:00:00","2024-03-30 11:00:00"
12,10,"Video Content Series","VIDEO","Watch our new video series","New Video Series Live","Entertaining and educational content","example.com/videos","https://www.example.com/video-series","ACTIVE","2024-07-10 15:00:00","2024-07-10 15:00:00"
13,11,"Product Research Guide","CAROUSEL","Make informed decisions with our guide","Smart Shopping Guide","Compare features and benefits","example.com/research","https://www.example.com/product-guide","ACTIVE","2024-05-15 12:00:00","2024-05-15 12:00:00"
14,12,"Premium Collection","IMAGE","Experience luxury like never before","Exclusive Premium Collection","Crafted for the discerning customer","example.com/premium","https://www.example.com/premium-collection","ACTIVE","2024-07-20 14:00:00","2024-07-20 14:00:00"
15,13,"Professional Network","CAROUSEL","Connect with industry leaders","Expand Your Network","Join our professional community","example.com/network","https://www.example.com/pro-network","PAUSED","2024-02-25 10:30:00","2024-02-25 10:30:00"
16,14,"Campus Style","VIDEO","College fashion on a budget","Campus Style Guide","Affordable trends for students","example.com/campus","https://www.example.com/campus-style","ACTIVE","2024-07-15 13:00:00","2024-07-15 13:00:00"
17,15,"Back to School Shop","CAROUSEL","Everything needed for the school year","Back to School Essentials","From supplies to outfits","example.com/school","https://www.example.com/back-to-school","ACTIVE","2024-07-15 14:00:00","2024-07-15 14:00:00"
18,16,"Fall Fashion Preview","IMAGE","First look at our fall collection","Fall Fashion First Look","Be the first to shop new arrivals","example.com/fall","https://www.example.com/fall-preview","ACTIVE","2024-09-25 11:00:00","2024-09-25 11:00:00"
19,17,"Spring Refresh","CAROUSEL","Update your wardrobe for spring","Spring Style Refresh","Fresh looks for the new season","example.com/spring","https://www.example.com/spring-refresh","ACTIVE","2024-03-05 09:00:00","2024-03-05 09:00:00"
20,18,"Local Event Special","IMAGE","Special offers for local attendees","Event Exclusive Offers","Discounts for our community","example.com/local","https://www.example.com/local-event","ACTIVE","2024-08-05 15:00:00","2024-08-05 15:00:00"
21,19,"Loyalty Rewards","VIDEO","Thank you for being a loyal customer","Loyalty Rewards Program","Exclusive benefits for members","example.com/loyalty","https://www.example.com/loyalty-rewards","ACTIVE","2024-05-25 16:00:00","2024-05-25 16:00:00"
